单片机最小系统,STC51/MSP430,2
12864液晶显示屏,128*64,1
平衡调制器,AD630,3
均方根直流转换器,AD637,3
有源滤波器,UAF42,3
双音频运放,INA2134,3
仪表放大器,INA218,6
运算放大器,UA741,12
运算放大器,OPA227,3
运算放大器,OPA4227,3
电阻,10K/51K/24K48K/1M,若干
电位器,1K/2K/5K/10K/20K50K,若干
精密无感电阻,1M,3
电解电容,47u/50V,>50
电解电容,1u/2.2u/10u/100u,若干
陶瓷电容,0.1uF,>70
陶瓷电容,0.01uF/1uF,若干
单片机最小系统,STC51/MSP430,2
12864液晶显示屏,128*64,1
平衡调制器,AD630,3
均方根直流转换器,AD637,3
有源滤波器,UAF42,3
双音频运放,INA2134,3
仪表放大器,INA218,6
运算放大器,UA741,12
运算放大器,OPA227,3
运算放大器,OPA4227,3
电阻,10K/51K/24K48K/1M,若干
电位器,1K/2K/5K/10K/20K50K,若干
精密无感电阻,1M,3
电解电容,47u/50V,>50
电解电容,1u/2.2u/10u/100u,若干
陶瓷电容,0.1uF,>70
陶瓷电容,0.01uF/1uF,若干
单片机最小系统,STC51/MSP430,2
12864液晶显示屏,128*64,1
平衡调制器,AD630,3
均方根直流转换器,AD637,3
有源滤波器,UAF42,3
双音频运放,INA2134,3
仪表放大器,INA218,6
运算放大器,UA741,12
运算放大器,OPA227,3
运算放大器,OPA4227,3
电阻,10K/51K/24K48K/1M,若干
电位器,1K/2K/5K/10K/20K50K,若干
精密无感电阻,1M,3
电解电容,47u/50V,>50
电解电容,1u/2.2u/10u/100u,若干
陶瓷电容,0.1uF,>70
陶瓷电容,0.01uF/1uF,若干
